time_ajustado	gFy
0.47681276	0.3305
0.47799505	0.3296
0.47939088	0.3283
0.48239468	0.3274
0.48471968	0.3261
0.48514687	0.3249
0.48547093	0.3232
0.48627963	0.321
0.48701463	0.3198
0.48800057	0.3198
0.48904645	0.3193
0.49019177	0.3188
0.49146994	0.3191
0.49264343	0.3188
0.49376656	0.3176
0.49512614	0.3161
0.49620932	0.3156
0.49911640	0.3149
0.49985442	0.3134
0.50028098	0.3127
0.50163776	0.3122
0.50263614	0.3129
0.50428208	0.3132
0.50499494	0.3124
0.50619083	0.3117
0.50725880	0.311
0.50840338	0.312
0.50978765	0.3127
0.51127447	0.3127
0.51207906	0.3129
0.51320187	0.3127
0.51571010	0.3124
0.51730494	0.312
0.51904973	0.3115
0.52025208	0.3124
0.52082463	0.3127
0.52137364	0.3124
0.52179958	0.3124
0.52345260	0.3117
0.52433276	0.3107
0.52545796	0.3102
0.52660171	0.311
0.52776385	0.3117
0.528965	0.3122
0.53032630	0.3134
0.53487364	0.3137
0.53626078	0.3127
0.53689057	0.3124
0.53745218	0.3124
0.53794765	0.3129
0.53839812	0.3139
0.53900614	0.3141
0.54043791	0.3144
0.54123541	0.3154
0.54369015	0.3171
0.54441697	0.3183
0.54486536	0.3186
0.54632723	0.3188
0.55189421	0.3198
0.55242567	0.3205
0.55273677	0.3213
0.55304531	0.322
0.55331812	0.323
0.55356369	0.3242
0.55437244	0.3249
0.55558687	0.3257
0.55671463	0.3261
0.55795562	0.3257
0.55940776	0.3249
0.56041276	0.3254
0.56171526	0.3252
0.56308598	0.3247
0.56499338	0.3247
0.56572979	0.3244
0.56677958	0.3237
0.56778536	0.323
0.56894593	0.3222
0.57013656	0.321
0.57141208	0.32
0.57246802	0.3198
0.57375578	0.3196
0.5748525	0.3183
0.57616140	0.3171
0.57734885	0.3159
0.57854526	0.3137
0.57973145	0.3117
0.58224875	0.3102
0.58454218	0.3085
0.58547572	0.3078
0.58698770	0.3066
0.58803848	0.3058
0.58860994	0.3066
0.58912098	0.3066
0.58957281	0.3056
0.59080031	0.3044
0.59192359	0.3034
0.59315026	0.3022
0.59443812	0.3002
0.59542406	0.2988
0.59679848	0.2978
0.60067557	0.2966
0.60315927	0.2953
0.60412520	0.2944
0.60466447	0.2929
0.60517239	0.2919
0.60558526	0.2917
0.60601671	0.291
0.60638286	0.2892
0.60795197	0.288
0.60872333	0.2873
0.61008036	0.2858
0.61122656	0.2848
0.61258182	0.2848
0.61374572	0.2853
0.61664901	0.2853
0.61797026	0.2839
0.61876796	0.2822
0.61939317	0.2819
0.61994645	0.2827
0.62123828	0.2822
0.62261864	0.2817
0.62349994	0.2807
0.62460927	0.2792
0.62603026	0.278
0.62727901	0.2768
0.62852036	0.2768
0.62943036	0.2763
0.63246598	0.2748
0.63320177	0.2726
0.63363619	0.2714
0.63485843	0.2704
0.63584270	0.2702
0.63749317	0.2697
0.63801515	0.2687
0.63937973	0.2675
0.64045020	0.2663
0.64177494	0.2665
0.64390046	0.2665
0.64442458	0.2665
0.64604020	0.2663
0.64750552	0.2656
0.64837166	0.2656
0.65763473	0.2656
0.65900973	0.266
0.65987609	0.2668
0.66028234	0.2675
0.66066333	0.2673
0.66108260	0.2678
0.66142890	0.2685
0.66178317	0.2685
0.67074026	0.269
0.67185192	0.2695
0.67228375	0.27
0.67262145	0.2719
0.67293359	0.2726
0.67324322	0.2722
0.67356203	0.2724
0.67389052	0.2734
0.67420015	0.2753
0.67459697	0.2768
0.67492713	0.2761
0.67522911	0.277
0.67556036	0.28
0.67595343	0.2814
0.67628828	0.2819
0.67671296	0.2819
0.67797083	0.2819
0.67916302	0.2831
0.68055723	0.2851
0.6830325	0.2853
0.68365458	0.2856
0.68397911	0.2866
0.68579807	0.2863
0.68631807	0.2863
0.68759755	0.2868
0.68879052	0.2861
0.68992776	0.2856
0.69169776	0.2856
0.69252692	0.2851
0.69372661	0.2848
0.69496880	0.2851
0.69594781	0.2848
0.69910213	0.2839
0.70073062	0.2834
0.70267244	0.2836
0.70330265	0.2836
0.70365718	0.2831
0.70459255	0.2824
0.70499505	0.2814
0.70594968	0.28
0.70704843	0.279
0.70816317	0.2783
0.70931614	0.2775
0.71061765	0.277
0.71188979	0.2758
0.71297281	0.2748
0.71598359	0.2741
0.71675515	0.2724
0.71844338	0.2712
0.71911890	0.2709
0.71984890	0.2704
0.72064140	0.2692
0.72176921	0.268
0.72278354	0.267
0.72393890	0.2663
0.72517927	0.2663
0.72637645	0.2653
0.72800463	0.2641
0.72864708	0.2634
0.72979630	0.2626
0.73218437	0.2626
0.73277317	0.2626
0.73382531	0.2619
0.73498645	0.2624
0.73632541	0.2626
0.73736343	0.2614
0.73835557	0.2607
0.73975942	0.2607
0.74076505	0.2607
0.74198916	0.2607
0.74349687	0.2595
0.74446197	0.2592
0.74564463	0.2595
0.74703171	0.2595
0.75122671	0.2597
0.75200880	0.2604
0.75248322	0.2604
0.75288572	0.2604
0.75334260	0.2609
0.75491010	0.2614
0.75702411	0.2614
0.75767625	0.2617
0.75811260	0.2621
0.75922979	0.2621
0.76037291	0.2636
0.76162140	0.2658
0.76313776	0.2663
0.76406416	0.2658
0.76718822	0.2658
0.76796479	0.2665
0.76841234	0.2685
0.76917026	0.27
0.77010562	0.2712
0.77168473	0.2719
0.77251989	0.2729
0.77367703	0.2741
0.77531479	0.2741
0.77618572	0.2748
0.77728552	0.2758
0.77848005	0.2758
0.77978380	0.2763
0.78483208	0.277
0.78583354	0.278
0.78644843	0.28
0.78711036	0.2809
0.78759635	0.2802
0.78841546	0.28
0.78890890	0.2802
0.79119343	0.2807
0.79184015	0.2824
0.79230109	0.2844
0.79303385	0.2851
0.79429697	0.2848
0.79553203	0.2848
0.79657119	0.2851
0.79977010	0.2858
0.80071223	0.2866
0.80130947	0.2873
0.80177885	0.287
0.80282718	0.2866
0.80396671	0.2866
0.80506156	0.2863
0.80643526	0.2866
0.80739458	0.2868
0.80867958	0.2873
0.81000447	0.2873
0.81119223	0.287
0.81231161	0.2863
0.81387453	0.2868
0.81866	0.2888
0.81991473	0.2892
0.82048708	0.2885
0.82100218	0.2878
0.82146177	0.287
0.82185421	0.2868
0.82221802	0.2878
0.82349739	0.2873
0.82447145	0.287
0.82559166	0.288
0.82714140	0.2888
0.82809416	0.2885
0.82933119	0.2885
0.83389333	0.2892
0.83526312	0.29
0.83589406	0.2895
0.83639213	0.2892
0.83683406	0.2892
0.83727281	0.2885
0.83780104	0.288
0.83930208	0.2878
0.84021729	0.2878
0.84163953	0.2878
0.84436703	0.2873
0.84512026	0.2866
0.84550286	0.2863
0.84614828	0.2853
0.85253588	0.2841
0.85319104	0.2836
0.85358656	0.2841
0.85393421	0.2844
0.85423427	0.2831
0.85455937	0.2822
0.85499671	0.2822
0.85594348	0.2817
0.85707031	0.2805
0.85845239	0.279
0.85971380	0.2783
0.86072604	0.2773
0.86195197	0.2761
0.86327645	0.2756
0.86572677	0.2751
0.86627885	0.2751
0.86704026	0.2753
0.86798781	0.2739
0.86920296	0.2722
0.87033312	0.2709
0.87196078	0.2692
0.87301192	0.2682
0.87394546	0.2673
0.87525515	0.2665
0.87641739	0.2653
0.87751468	0.2643
0.87899067	0.2641
0.88009140	0.2631
0.88331921	0.2621
0.88394312	0.2614
0.88430473	0.2609
0.88533442	0.2602
0.88670677	0.2595
0.88757635	0.2582
0.88858604	0.2575
0.88981927	0.2572
0.89113713	0.256
0.89215463	0.2553
0.89352864	0.2553
0.89461333	0.2553
0.89599630	0.2538
0.89863796	0.2523
0.89930625	0.2526
0.90032921	0.2536
0.90107515	0.2543
0.90211526	0.2545
0.90356317	0.2545
0.90430187	0.2553
0.90569609	0.2563
0.90690390	0.2565
0.90803041	0.2572
0.90958223	0.2582
0.91041875	0.259
0.91162958	0.2597
0.91326109	0.2607
0.91600776	0.2621
0.91675854	0.2634
0.91746744	0.2636
0.91894005	0.2631
0.91960901	0.2641
0.92105546	0.2651
0.92207677	0.2658
0.92314703	0.2656
0.92406505	0.2651
0.92608421	0.2658
0.92723927	0.2663
0.92802942	0.266
0.92896666	0.2658
0.93033135	0.266
0.93372317	0.2656
0.93480609	0.2648
0.93544177	0.2643
0.93599484	0.2631
0.93649765	0.2629
0.93732765	0.2629
0.93862312	0.2621
0.93978578	0.2619
0.94069932	0.2624
0.94204489	0.2614
0.94335343	0.2604
0.94454911	0.2602
0.94581510	0.2587
0.94710640	0.2575
0.95341119	0.2575
0.95426031	0.2565
0.95492812	0.2555
0.95551270	0.2548
0.95599786	0.2536
0.95650026	0.2528
0.95695140	0.2521
0.95741223	0.2509
0.95783651	0.2514
0.95905536	0.2519
0.96036619	0.2519
0.96156020	0.2514
0.96282614	0.2521
0.97152489	0.2536
0.97239651	0.255
0.97295958	0.2567
0.97341822	0.2585
0.97390510	0.2597
0.97436203	0.2604
0.97493609	0.2617
0.97541375	0.2634
0.97593567	0.2658
0.97640005	0.2682
0.97686927	0.2692
0.977355	0.27
0.97846328	0.2717
0.97975510	0.2734
0.98781640	0.2739
0.98882015	0.2739
0.98940968	0.2736
0.98993411	0.2734
0.99042453	0.2731
0.99110567	0.2734
0.99159697	0.2739
0.99210213	0.2734
0.99254604	0.2726
0.99301786	0.2724
1.00178380	0.2722
1.00359161	0.2717
1.00440958	0.2712
1.00492953	0.2702
1.00539963	0.269
1.00582994	0.2678
1.00627598	0.2656
1.00679192	0.2629
1.00727703	0.2609
1.00770828	0.259
1.00812197	0.2563
1.00855010	0.2548
1.0089475	0.2545
1.00936484	0.2538
1.00978041	0.2523
1.01234067	0.2506
1.01286760	0.2487
1.01329781	0.248
1.02227234	0.2477
1.02337682	0.2467
1.02387453	0.246
1.02431546	0.2458
1.02470098	0.246
1.02508984	0.2462
1.02546213	0.2462
1.02584901	0.246
1.02623598	0.246
